"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Yarramaneni S.; Anu S.; Quamara J.K.","Yarramaneni, Sridharbabu (23981882900); Anu, Sharma (57190935139); Quamara, J.K. (7003619126)","23981882900; 57190935139; 7003619126","Thermally stimulated polarization currents of pristine poly (p-hydroxybenzoic acid - Co - ethylene terephthalate) polymer liquid crystals","2016","AIP Conference Proceedings","1731","","030016","","","","0","10.1063/1.4947621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984550758&doi=10.1063%2f1.4947621&partnerID=40&md5=8d37fe9979d12618a0c8e968a5a79624","School of Engineering and Technology, BML Munjal University, 67th km stone, NH-8, Sidhrawali, Gurgaon, Haryana, 122413, India; Department of Physics, A.R.S.D. College, Delhi University, Delhi, India; Department of Physics, National Institute of Technology, Kurukshetra, India","Yarramaneni S., School of Engineering and Technology, BML Munjal University, 67th km stone, NH-8, Sidhrawali, Gurgaon, Haryana, 122413, India; Anu S., Department of Physics, A.R.S.D. College, Delhi University, Delhi, India; Quamara J.K., Department of Physics, National Institute of Technology, Kurukshetra, India","Conference paper","Final","","Scopus","2-s2.0-84984550758"
"Prakash S.; Soni G.; Rathore A.P.S.","Prakash, Surya (57226556562); Soni, Gunjan (26423256300); Rathore, Ajay Pal Singh (15763606900)","57226556562; 26423256300; 15763606900","Embedding risk in closed-loop supply chain network design: Case of a hospital furniture manufacturer","2017","Journal of Modelling in Management","12","3","","551","574","23","21","10.1108/JM2-02-2016-0017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028765804&doi=10.1108%2fJM2-02-2016-0017&partnerID=40&md5=22b13dc6643b437fee0d1afe10a99482","Mechanical Engineering Department, SoET, BML Munjal University, Gurgaon, India; Mechanical Engineering Department, Malaviya National Institute of Technology, Jaipur, India","Prakash S., Mechanical Engineering Department, SoET, BML Munjal University, Gurgaon, India; Soni G., Mechanical Engineering Department, Malaviya National Institute of Technology, Jaipur, India; Rathore A.P.S., Mechanical Engineering Department, Malaviya National Institute of Technology, Jaipur, India","Article","Final","","Scopus","2-s2.0-85028765804"
"Yadav R.","Yadav, Rajesh (57223382285)","57223382285","Challenges and Evolution of Next generation Wireless Communication","2017","Lecture Notes in Engineering and Computer Science","2228","","","619","623","4","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041177541&partnerID=40&md5=b6b7990ad849085c7897cf1e0cca2457","Department of Computer Science and Engineering, School of Engineering and Technology, BML Munjal University, Gurgaon, India; Computer Science and Engineering, Maharishi Dayanand University, Rohtak, Haryana, India; Computer Science, Guru Jambheshwar University of Science and Technology, Hisar, Haryana, India; Computer Science, Mewar University, Rajasthan, India","Yadav R., Department of Computer Science and Engineering, School of Engineering and Technology, BML Munjal University, Gurgaon, India, Computer Science and Engineering, Maharishi Dayanand University, Rohtak, Haryana, India, Computer Science, Guru Jambheshwar University of Science and Technology, Hisar, Haryana, India, Computer Science, Mewar University, Rajasthan, India","Conference paper","Final","","Scopus","2-s2.0-85041177541"
"Awasthi M.K.; Asthana R.; Uddin Z.","Awasthi, Mukesh Kumar (57285510700); Asthana, Rishi (16548831400); Uddin, Ziya (50862185600)","57285510700; 16548831400; 50862185600","Nonlinear Study of Kelvin-Helmholtz instability of cylindrical flow with mass and heat transfer","2016","International Communications in Heat and Mass Transfer","71","","","216","224","8","11","10.1016/j.icheatmasstransfer.2015.12.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954304554&doi=10.1016%2fj.icheatmasstransfer.2015.12.035&partnerID=40&md5=129d72cc8b039c34a127a3732cb70f4e","Department of Mathematics, University of Petroleum and Energy Studies, Dehradun, India; SoET, BML Munjal University, Gurgaon, Haryana, 123413, India","Awasthi M.K., Department of Mathematics, University of Petroleum and Energy Studies, Dehradun, India; Asthana R., SoET, BML Munjal University, Gurgaon, Haryana, 123413, India; Uddin Z., SoET, BML Munjal University, Gurgaon, Haryana, 123413, India","Article","Final","","Scopus","2-s2.0-84954304554"
"Bandopadhaya S.; Samal S.R.; Dora S.K.; Poulkov V.","Bandopadhaya, Shuvabrata (55608418800); Samal, Soumya Ranjan (57201738477); Dora, Saroj Kumar (57215279470); Poulkov, Vladimir (24081488100)","55608418800; 57201738477; 57215279470; 24081488100","Base station transmission power optimization in interference-limited cellular networks for maximum energy efficiency","2017","2017 13th International Conference on Advanced Technologies, Systems and Services in Telecommunications, TELSIKS 2017 - Proceeding","2017-October","","","228","231","3","2","10.1109/TELSKS.2017.8246269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045979306&doi=10.1109%2fTELSKS.2017.8246269&partnerID=40&md5=878e408588c73b782d152473b8d839d8","Faculty of School of Engineering and Technology, BML Munjal University, Gurgaon, India; Faculty of Telecommunications Technical University of Sofia, Bulgaria; Faculty of Electronic and Communication Engineering, Silicon Institute of Technology, Odisha, India","Bandopadhaya S., Faculty of School of Engineering and Technology, BML Munjal University, Gurgaon, India; Samal S.R., Faculty of Telecommunications Technical University of Sofia, Bulgaria; Dora S.K., Faculty of Electronic and Communication Engineering, Silicon Institute of Technology, Odisha, India; Poulkov V., Faculty of Telecommunications Technical University of Sofia, Bulgaria","Conference paper","Final","","Scopus","2-s2.0-85045979306"
"Chakrabarti G.; Sen C.","Chakrabarti, Gagari (27067484700); Sen, Chitrakalpa (57208446336)","27067484700; 57208446336","Green convergence in emerging nations: The determinants and the possibilities","2016","Handbook of Research on Global Indicators of Economic and Political Convergence","","","","448","474","26","0","10.4018/978-1-5225-0215-9.ch020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016612416&doi=10.4018%2f978-1-5225-0215-9.ch020&partnerID=40&md5=84cc8d8e4a892e4e84053e6da4959507","Presidency University, Kolkata, India; School of Management, BML Munjal University, India","Chakrabarti G., Presidency University, Kolkata, India; Sen C., School of Management, BML Munjal University, India","Book chapter","Final","","Scopus","2-s2.0-85016612416"
"Mudusu D.; Nandanapalli K.R.; Dugasani S.R.; Park S.H.; Tu C.W.","Mudusu, Devika (57189891923); Nandanapalli, Koteeswara Reddy (55665688600); Dugasani, Sreekantha Reddy (55588704600); Park, Sung Ha (58105891000); Tu, Charles W. (35401048600)","57189891923; 55665688600; 55588704600; 58105891000; 35401048600","Zinc Oxide Nanorods Shielded with an Ultrathin Nickel Layer: Tailoring of Physical Properties","2016","Scientific Reports","6","","28561","","","","21","10.1038/srep28561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975744522&doi=10.1038%2fsrep28561&partnerID=40&md5=519c7acaf750de78558abb112887dc1e","Department of Nanobio-Materials and Electronics, Gwangju Institute of Science and Technology, Gwangju, 500712, South Korea; Department of Physics, School of Engineering and Technology, BML Munjal University, Sidhrawali, Gurgaon, Haryana, 122413, India; Department of Physics, Sungkyunkwan Advanced Institute of Nanotechnology (SAINT), Sungkyunkwan University, Suwon, 440-746, South Korea; Department of Electrical and Computer Engineering, University of California, San Diego, San Diego, 92093-0407, CA, United States","Mudusu D., Department of Nanobio-Materials and Electronics, Gwangju Institute of Science and Technology, Gwangju, 500712, South Korea; Nandanapalli K.R., Department of Nanobio-Materials and Electronics, Gwangju Institute of Science and Technology, Gwangju, 500712, South Korea, Department of Physics, School of Engineering and Technology, BML Munjal University, Sidhrawali, Gurgaon, Haryana, 122413, India; Dugasani S.R., Department of Physics, Sungkyunkwan Advanced Institute of Nanotechnology (SAINT), Sungkyunkwan University, Suwon, 440-746, South Korea; Park S.H., Department of Physics, Sungkyunkwan Advanced Institute of Nanotechnology (SAINT), Sungkyunkwan University, Suwon, 440-746, South Korea; Tu C.W., Department of Nanobio-Materials and Electronics, Gwangju Institute of Science and Technology, Gwangju, 500712, South Korea, Department of Electrical and Computer Engineering, University of California, San Diego, San Diego, 92093-0407, CA, United States","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84975744522"
"Gupta R.; Ponnuru K.; Kumar A.; Trivedi S.K.","Gupta, Rashik (57195611868); Ponnuru, Karteek (57195613079); Kumar, Anil (57001679600); Trivedi, Shrawan Kumar (55980759400)","57195611868; 57195613079; 57001679600; 55980759400","Factors identification of online reputation and relationship with trust: A study of generation y","2017","International Journal of Business Information Systems","26","2","","151","165","14","7","10.1504/IJBIS.2017.10007109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029211612&doi=10.1504%2fIJBIS.2017.10007109&partnerID=40&md5=765c546b7e8cc852ade2f12e0aa6b8f2","MBA in Business Analytics, School of Management, BML Munjal University, Gurgaon, Haryana, India; School of Management (Marketing Analytics and Decision Science), BML Munjal University, Gurgaon, Haryana, India","Gupta R., MBA in Business Analytics, School of Management, BML Munjal University, Gurgaon, Haryana, India; Ponnuru K., MBA in Business Analytics, School of Management, BML Munjal University, Gurgaon, Haryana, India; Kumar A., School of Management (Marketing Analytics and Decision Science), BML Munjal University, Gurgaon, Haryana, India; Trivedi S.K., MBA in Business Analytics, School of Management, BML Munjal University, Gurgaon, Haryana, India","Article","Final","","Scopus","2-s2.0-85029211612"
"Ahlawat S.; Vaghani D.; Tudu J.; Suhag A.","Ahlawat, Satyadev (57188811237); Vaghani, Darshit (57193616502); Tudu, Jaynarayan (35147214200); Suhag, Ashok (54916937000)","57188811237; 57193616502; 35147214200; 54916937000","A cost effective technique for diagnosis of scan chain faults","2017","Communications in Computer and Information Science","711","","","191","204","13","4","10.1007/978-981-10-7470-7_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039420763&doi=10.1007%2f978-981-10-7470-7_20&partnerID=40&md5=0ec1e4d1d0153a809c6297f9b26f4e94","Computer Architecture and Dependable Systems Labaratory, Department of Electrical Engineering, Indian Institute of Technology Bombay, Mumbai, India; Department of Computer Science and Automation, Indian Institute of Science, Bengaluru, India; School of Engineering and Technology, BML Munjal University, Gurgaon, India","Ahlawat S., Computer Architecture and Dependable Systems Labaratory, Department of Electrical Engineering, Indian Institute of Technology Bombay, Mumbai, India; Vaghani D., Computer Architecture and Dependable Systems Labaratory, Department of Electrical Engineering, Indian Institute of Technology Bombay, Mumbai, India; Tudu J., Department of Computer Science and Automation, Indian Institute of Science, Bengaluru, India; Suhag A., School of Engineering and Technology, BML Munjal University, Gurgaon, India","Conference paper","Final","","Scopus","2-s2.0-85039420763"
"Kumar A.; Kaviani M.A.; Hafezalkotob A.; Zavadskas E.K.","Kumar, Anil (57001679600); Kaviani, Mohamad Amin (56167722700); Hafezalkotob, Ashkan (54880543400); Zavadskas, Edmundas Kazimieras (6602254601)","57001679600; 56167722700; 54880543400; 6602254601","Evaluating innovation capabilities of real estate firms: a combined fuzzy Delphi and DEMATEL approach","2017","International Journal of Strategic Property Management","21","4","","401","416","15","30","10.3846/1648715X.2017.1409291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038585690&doi=10.3846%2f1648715X.2017.1409291&partnerID=40&md5=fcb6d24bd660de1be04dafd1eaca7e08","School of Management, BML Munjal University, Gurgaon, Haryana, India; Young Researchers and Elite Club, Shiraz Branch, Islamic Azad University, Shiraz, Iran; Department of Construction Management and Real Estate, Vilnius Gediminas Technical University, Saulėtekio al. 11, Vilnius, LT-10223, Lithuania","Kumar A., School of Management, BML Munjal University, Gurgaon, Haryana, India; Kaviani M.A., Young Researchers and Elite Club, Shiraz Branch, Islamic Azad University, Shiraz, Iran; Hafezalkotob A., Young Researchers and Elite Club, Shiraz Branch, Islamic Azad University, Shiraz, Iran; Zavadskas E.K., Department of Construction Management and Real Estate, Vilnius Gediminas Technical University, Saulėtekio al. 11, Vilnius, LT-10223, Lithuania","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85038585690"
